,노드링크 유형,시군구명,읍면동명,위도,경도
1305,LINK,강남구,논현동,37.51999585619614,127.02826895636916
1306,NODE,강남구,삼성동,37.511399752286366,127.04829054773084
1307,NODE,강남구,세곡동,37.46509288602285,127.10991421796167
1308,LINK,강남구,자곡동,37.469577268583,127.0919000787375
1309,NODE,강남구,도곡동,37.488778745921564,127.05365784738032
1310,LINK,강남구,대치동,37.49812125262742,127.06863658081123
1311,NODE,강남구,청담동,37.52399702733458,127.04768501657117
1312,NODE,강남구,도곡동,37.487547545404446,127.05355931878135
1313,LINK,강남구,청담동,37.52368460430242,127.04485740791085
1314,LINK,강남구,삼성동,37.51695981878882,127.04117205482913
1315,NODE,강남구,자곡동,37.4745909439136,127.1033868967218
1316,LINK,강남구,삼성동,37.50917480961437,127.06304808644603
1317,LINK,강남구,대치동,37.501264614510085,127.05273930526738
1318,NODE,강남구,세곡동,37.4652504550591,127.10780128589468
1319,LINK,강남구,논현동,37.52140155273038,127.0341269724794
1320,NODE,강남구,논현동,37.508922249968734,127.03857146514076
1321,LINK,강남구,역삼동,37.4957511185815,127.0462292884763
1322,NODE,강남구,대치동,37.50538031216686,127.05764049476838
1323,NODE,강남구,대치동,37.49713358446906,127.06206872723669
1324,NODE,강남구,대치동,37.49701249113295,127.0616866029325
1325,LINK,강남구,청담동,37.52217839231132,127.05554797315502
1326,LINK,강남구,세곡동,37.463666649286345,127.1021354387635
1327,NODE,강남구,청담동,37.52444793331581,127.04753013924962
1328,LINK,강남구,대치동,37.506542880991006,127.05648942521212
1329,NODE,강남구,청담동,37.52396056658635,127.04729708510374
1330,NODE,강남구,역삼동,37.49520346043614,127.03680495930483
1331,NODE,강남구,역삼동,37.49455397552985,127.03527946646251
1332,LINK,강남구,도곡동,37.48586521648254,127.0411682223636
1333,NODE,강남구,자곡동,37.47811488733477,127.1140723934467
1334,NODE,강남구,청담동,37.52397204609972,127.04720514371164
1335,NODE,강남구,세곡동,37.46620904955553,127.11829790764648
1336,NODE,강남구,역삼동,37.506083299805404,127.0346403299202
1337,NODE,강남구,역삼동,37.504835972066246,127.03486525752855
1338,LINK,강남구,일원동,37.496581415342504,127.08854553506116
1339,LINK,강남구,자곡동,37.47220509434268,127.0960031928348
1340,NODE,강남구,대치동,37.50474139866751,127.06503566056207
1341,LINK,강남구,논현동,37.515690192610045,127.03564595375545
1342,LINK,강남구,일원동,37.4923796829358,127.08343663131022
1343,NODE,강남구,역삼동,37.49930331351646,127.03118550528272
1344,LINK,강남구,율현동,37.473373470899666,127.10660610241764
1345,NODE,강남구,논현동,37.51551999533343,127.0298592201027
1346,NODE,강남구,역삼동,37.50676146828373,127.04730401933837
1347,LINK,강남구,도곡동,37.48543674134601,127.04175026571782
1348,NODE,강남구,역삼동,37.498718478108835,127.0449767391339
1349,NODE,강남구,개포동,37.48665012341066,127.0566690159908
1350,LINK,강남구,대치동,37.50766746183912,127.05927774481067
1351,NODE,강남구,역삼동,37.50359757668152,127.03582700735777
1352,NODE,강남구,역삼동,37.4988821645141,127.03139214534855
1353,LINK,강남구,자곡동,37.47285,127.10008000000002
1354,LINK,강남구,논현동,37.522510232755984,127.03766258236527
1355,LINK,강남구,일원동,37.48549,127.08332
1356,NODE,강남구,역삼동,37.49874952843161,127.03101292927873
1357,LINK,강남구,논현동,37.52140155273038,127.0341269724794
1358,LINK,강남구,대치동,37.49952953800224,127.06238093582402
1359,NODE,강남구,대치동,37.504568808570376,127.05807220485164
1360,NODE,강남구,도곡동,37.48875976450996,127.04997407628852
1361,LINK,강남구,세곡동,37.462356199298306,127.10133603795954
1362,NODE,강남구,삼성동,37.50791867992012,127.05917907196887
1363,NODE,강남구,개포동,37.48776242765879,127.07014244237511
1364,NODE,강남구,자곡동,37.47848976131941,127.114242390706
1365,NODE,강남구,세곡동,37.463194949683185,127.10374115887966
1366,NODE,강남구,역삼동,37.499182121056656,127.03080054725926
1367,NODE,강남구,신사동,37.523322300203446,127.0387950984113
1368,NODE,강남구,도곡동,37.487683692050744,127.03251785429516
1369,NODE,강남구,역삼동,37.50493657386517,127.0351841701688
1370,LINK,강남구,대치동,37.49605041803062,127.05288070013924
1371,NODE,강남구,개포동,37.48836010640992,127.06952551474343
1372,LINK,강남구,대치동,37.496408442416694,127.07028660770901
1373,NODE,강남구,역삼동,37.501005822035346,127.03658410064887
1374,NODE,강남구,개포동,37.48853112703818,127.06457141000533
1375,NODE,강남구,역삼동,37.50049311257985,127.03681939510288
1376,NODE,강남구,역삼동,37.507875068585584,127.04547852081804
1377,NODE,강남구,삼성동,37.5198292234856,127.05669983589708
1378,NODE,강남구,개포동,37.48622504516053,127.06726331274167
1379,NODE,강남구,역삼동,37.49866050335787,127.05161687848444
1380,NODE,강남구,청담동,37.52031888404625,127.05688409472384
1381,NODE,강남구,역삼동,37.490663576793246,127.03477214375616
1382,NODE,강남구,논현동,37.51602986738797,127.01988590818206
1383,NODE,강남구,자곡동,37.475350152526616,127.10657349449984
1384,NODE,강남구,논현동,37.516000107530154,127.01993761589627
1385,NODE,강남구,신사동,37.5164601353568,127.01976247874764
1386,NODE,강남구,율현동,37.471442929231735,127.10759877298
1387,NODE,강남구,율현동,37.47136552253346,127.10715359828622
1388,NODE,강남구,율현동,37.473373470899666,127.10660610241764
1389,NODE,강남구,자곡동,37.47346803300745,127.10249806899678
1390,NODE,강남구,역삼동,37.50331088921467,127.04588564896746
1391,NODE,강남구,개포동,37.487316054155826,127.06215358440588
1392,NODE,강남구,신사동,37.516510477180084,127.01979984244093
1393,NODE,강남구,논현동,37.517421847742845,127.02318608343589
1394,NODE,강남구,역삼동,37.493234804950774,127.03032033405371
1395,NODE,강남구,역삼동,37.49369440301429,127.03184854874269
1396,NODE,강남구,역삼동,37.49422257202911,127.03360946532474
1397,LINK,강남구,대치동,37.50279927904966,127.04966384797939
1398,NODE,강남구,신사동,37.52006771399997,127.02834683188702
1399,LINK,강남구,개포동,37.48724293255794,127.07064766837341
1400,NODE,강남구,역삼동,37.494089961513396,127.033164207166
1401,NODE,강남구,역삼동,37.4927371374228,127.03416887832977
1402,NODE,강남구,역삼동,37.4938656116524,127.03341686519917
1403,NODE,강남구,역삼동,37.49583517697214,127.03267084605544
1404,NODE,강남구,역삼동,37.49567037861105,127.03275119895716
1405,NODE,강남구,역삼동,37.49423531852458,127.03323311121379
1406,NODE,강남구,역삼동,37.49293499648754,127.0303489349148
1407,LINK,강남구,개포동,37.480283067134984,127.06330541179041
1408,NODE,강남구,역삼동,37.493083743895504,127.03038346163845
1409,LINK,강남구,도곡동,37.487129986799154,127.05204728050995
1410,NODE,강남구,역삼동,37.49354333882759,127.03192029032103
1411,NODE,강남구,역삼동,37.493938897346986,127.03323307422788
1412,NODE,강남구,역삼동,37.49496121761853,127.04852555098373
1413,LINK,강남구,대치동,37.492368543389475,127.0580893226582
1414,NODE,강남구,청담동,37.524035912874865,127.0477338890768
1415,NODE,강남구,신사동,37.522309472727436,127.03562528955018
1416,NODE,강남구,삼성동,37.51272944263341,127.05329233672138
1417,NODE,강남구,삼성동,37.510743449398376,127.05476902542699
1418,NODE,강남구,삼성동,37.513318794985395,127.05626725437087
1419,NODE,강남구,역삼동,37.495193461858115,127.02901929290515
1420,NODE,강남구,역삼동,37.49507460567276,127.02906896587605
1421,NODE,강남구,청담동,37.51831001820279,127.04653266504036
1422,NODE,강남구,삼성동,37.51779331638994,127.04521931096195
1423,LINK,강남구,일원동,37.48557552224984,127.08348697945891
1424,LINK,강남구,대치동,37.49704679196304,127.05477823937933
1425,LINK,강남구,개포동,37.48594232132203,127.0674152719537
1426,LINK,강남구,수서동,37.48389238964962,127.08921040427376
1427,LINK,강남구,율현동,37.471626488950406,127.10707644331676
1428,LINK,강남구,수서동,37.48559204178005,127.08708368752241
1429,LINK,강남구,개포동,37.49439726300237,127.0773222029743
1430,NODE,강남구,삼성동,37.51048241351385,127.04404994822418
1431,LINK,강남구,신사동,37.52166968667046,127.028390537545
1432,LINK,강남구,역삼동,37.50064172450382,127.03727906820534
1433,LINK,강남구,율현동,37.46769953444784,127.11994547585908
1434,LINK,강남구,대치동,37.50854763459424,127.06325727360202
1435,LINK,강남구,세곡동,37.46496154207513,127.09582644721733
1436,LINK,강남구,삼성동,37.5100983065045,127.06627679251147
1437,LINK,강남구,대치동,37.49125014080579,127.05543639341704
1438,LINK,강남구,삼성동,37.51150506649595,127.06208187352865
1439,LINK,강남구,개포동,37.48059431307268,127.06330280263477
1440,LINK,강남구,개포동,37.48853112703818,127.06457141000533
1441,NODE,강남구,수서동,37.48648552462253,127.1029848777759
1442,NODE,강남구,역삼동,37.50225304175828,127.04269538920278
1443,LINK,강남구,도곡동,37.48684103068848,127.03305436847879
1444,LINK,강남구,수서동,37.48651329943225,127.10522791563562
1445,LINK,강남구,삼성동,37.51431266555132,127.05962776321871
1446,NODE,강남구,개포동,37.4761419321905,127.05837819266071
1447,NODE,강남구,개포동,37.47554676339529,127.05866488370035
1448,NODE,강남구,개포동,37.484698881019916,127.05835325928611
1449,NODE,강남구,개포동,37.48468770505039,127.0578104634487
1450,NODE,강남구,개포동,37.48367424542233,127.05704289839211
1451,LINK,강남구,도곡동,37.486278273638085,127.0525748294985
1452,LINK,강남구,세곡동,37.466863242216135,127.12165662588295
1453,LINK,강남구,청담동,37.52589816887849,127.03989517496552
1454,LINK,강남구,대치동,37.49864394814767,127.06076158820113
1455,LINK,강남구,삼성동,37.50678,127.05635000000001
1456,NODE,강남구,대치동,37.49572023648087,127.06238063952823
1457,NODE,강남구,수서동,37.48638928748787,127.10311972750621
1458,NODE,강남구,도곡동,37.481140073198034,127.04403775227823
1459,LINK,강남구,역삼동,37.49559533706424,127.02873533809016
1460,NODE,강남구,개포동,37.48456165944801,127.05816648004749
1461,NODE,강남구,개포동,37.48239518625793,127.06112562829706
1462,NODE,강남구,개포동,37.484971054922,127.06552600766997
1463,LINK,강남구,일원동,37.48528313040721,127.08216091566123
1464,NODE,강남구,개포동,37.4850006273727,127.06584768646869
1465,LINK,강남구,율현동,37.468839273719404,127.11991284148885
1466,LINK,강남구,수서동,37.48854796397685,127.10047198447445
1467,NODE,강남구,개포동,37.47580896944638,127.04681420929043
1468,LINK,강남구,도곡동,37.48722895219747,127.05076644295818
1469,NODE,강남구,개포동,37.48262704323697,127.06226445545938
1470,LINK,강남구,대치동,37.49030570662954,127.06339501825144
1471,LINK,강남구,일원동,37.483478552340685,127.08399177367392
1472,NODE,강남구,개포동,37.4824966904668,127.06208342352826
1473,LINK,강남구,삼성동,37.513270582625125,127.0535182507802
1474,LINK,강남구,압구정동,37.52741818340889,127.02857560404978
1475,NODE,강남구,역삼동,37.49562310494565,127.045855809463
1476,NODE,강남구,역삼동,37.495676435874515,127.03915617765497
1477,NODE,강남구,역삼동,37.49644293866264,127.04063239642987
1478,LINK,강남구,삼성동,37.51519674682739,127.06635896478616
1479,NODE,강남구,역삼동,37.49455702625399,127.04006610210101
