노드링크 유형,시군구명,읍면동명,경도,위도
NODE,강남구,대치동,127.06106789,37.503972274
NODE,강남구,대치동,127.06307731,37.494176807
NODE,강남구,대치동,127.06112235,37.503825778
NODE,강남구,대치동,127.05726695,37.505254623
NODE,강남구,대치동,127.05895233,37.503119817
LINK,강남구,대치동,127.05734157,37.488958742
NODE,강남구,대치동,127.05535106,37.502112473
NODE,강남구,대치동,127.05650037,37.502494118
NODE,강남구,대치동,127.05543138,37.501961391
NODE,강남구,대치동,127.05769866,37.504443121
LINK,강남구,대치동,127.06458509,37.500092051
LINK,강남구,대치동,127.06890771,37.492051079
NODE,강남구,대치동,127.05686189,37.488898327
NODE,강남구,대치동,127.05398902,37.501490617
NODE,강남구,대치동,127.0629168,37.494570524
NODE,강남구,대치동,127.05679488,37.488826484
NODE,강남구,대치동,127.06238094,37.499529538
NODE,강남구,대치동,127.06253007,37.499247967
LINK,강남구,대치동,127.06316249,37.494705704
LINK,강남구,대치동,127.06964894,37.496396233
NODE,강남구,대치동,127.05861657,37.498288017
NODE,강남구,대치동,127.05927774,37.507667462
LINK,강남구,대치동,127.05548769,37.490703151
LINK,강남구,대치동,127.06339817,37.508700892
LINK,강남구,대치동,127.06109512,37.503899026
NODE,강남구,대치동,127.05713415,37.507004838
LINK,강남구,대치동,127.07272269,37.497330847
LINK,강남구,대치동,127.06728729,37.501356776
NODE,강남구,대치동,127.05688992,37.506934011
LINK,강남구,대치동,127.06774636,37.500768355
NODE,강남구,대치동,127.07017213,37.496854779
NODE,강남구,대치동,127.05701813,37.506703398
