노드링크 유형,시군구명,읍면동명,위도,경도
NODE,노원구,상계동,37.664991323,127.06097709
NODE,노원구,상계동,37.664832072,127.05912301
NODE,노원구,상계동,37.664687882,127.05915456
NODE,노원구,상계동,37.66717687,127.05738318
LINK,노원구,하계동,37.631764742,127.07035909
NODE,노원구,상계동,37.664672374,127.05812393
NODE,노원구,상계동,37.657366842,127.06658769
NODE,노원구,상계동,37.664670318,127.05765181
NODE,노원구,상계동,37.664432097,127.05809496
NODE,노원구,상계동,37.664377337,127.05776097
NODE,노원구,상계동,37.664443767,127.05763148
NODE,노원구,상계동,37.657236976,127.06635106
NODE,노원구,상계동,37.664503546,127.05705864
NODE,노원구,상계동,37.670646129,127.05393964
NODE,노원구,상계동,37.670786334,127.05259523
LINK,노원구,상계동,37.668079476,127.06442433
NODE,노원구,상계동,37.670787809,127.05438888
NODE,노원구,월계동,37.624397412,127.04973451
LINK,노원구,월계동,37.628865154,127.05513056
LINK,노원구,상계동,37.659110639,127.06476697
LINK,노원구,하계동,37.631841984,127.06741184
NODE,노원구,상계동,37.655891901,127.06185413
NODE,노원구,상계동,37.670748121,127.05606157
LINK,노원구,상계동,37.655186972,127.06462854
LINK,노원구,하계동,37.634972327,127.07184699
NODE,노원구,중계동,37.650827114,127.07692233
NODE,노원구,공릉동,37.62332873,127.09017952
LINK,노원구,상계동,37.653620192,127.05744383
LINK,노원구,공릉동,37.61814448,127.07260327
NODE,노원구,중계동,37.650834334,127.07657916
LINK,노원구,하계동,37.631507324,127.071248
NODE,노원구,공릉동,37.623298903,127.08567521
LINK,노원구,상계동,37.67069742,127.05437442
NODE,노원구,상계동,37.656439855,127.06430853
LINK,노원구,월계동,37.625658627,127.05181708
LINK,노원구,공릉동,37.625192942,127.08837196
NODE,노원구,공릉동,37.622348402,127.08673004
NODE,노원구,상계동,37.667892149,127.06700076
NODE,노원구,공릉동,37.622540668,127.08668711
LINK,노원구,중계동,37.645894668,127.06373773
NODE,노원구,공릉동,37.623914237,127.09063771
NODE,노원구,중계동,37.646587161,127.07001406
LINK,노원구,월계동,37.619149134,127.0578609
