학원명,주소,Latitude,Longitude,정원합계,일시수용능력인원합계
미래탐구학원,서울특별시 강남구 삼성로57길 31,37.4973219,127.0585426,1240,359
생각비타민국어학원,서울특별시 강남구 삼성로 313,37.4998263,127.0600673,70,240
시사중국어학원,서울특별시 강남구 테헤란로4길 28,37.4965132,127.0300705,900,267
씨앤에이논술학원,서울특별시 강남구 도곡로 450,37.4981124,127.0597594,340,118
수학전문로커스학원,서울특별시 강남구 개포로82길 7,37.4887765,127.0673245,45,90
정진수학학원,서울특별시 강남구 도곡로78길 22,37.4963866,127.058402,33,121
양향자푸드앤코디아카데미학원,서울특별시 강남구 논현로57길 24,37.4912893,127.0391253,393,83
영독대치학원,서울특별시 강남구 남부순환로 2942,37.4935818,127.0623994,340,205
설리번스쿨어학원,서울특별시 강남구 도산대로17길 21,37.5200501,127.0243309,89,130
명석학원,서울특별시 강남구 도곡로 447,37.4987688,127.0593926,140,200
프리미어학원,서울특별시 강남구 남부순환로 2935,37.4940247,127.0613442,156,218
조엘통찰수학학원,서울특별시 강남구 도곡로 438,37.4978146,127.0584142,30,168
청담해법수학학원,서울특별시 강남구 학동로 419,37.5183507,127.0459641,140,279
시대인재56학원,서울특별시 강남구 삼성로 231,37.4978277,127.0610138,10530,104
다원매쓰아이(Math i)학원,서울특별시 강남구 삼성로 227,37.4974041,127.0612407,500,150
루미가넷네일아카데미학원,서울특별시 강남구 역삼로 432,37.5014387,127.0543304,75,90
우리사진학원,서울특별시 강남구 논현로175길 46,37.5249299,127.0250144,9,38
에이원아카데미보습학원,서울특별시 강남구 논현로175길 109,37.5223434,127.0206231,84,180
대치필학원,서울특별시 강남구 삼성로 150,37.4933928,127.0673501,140,150
아이디(ID)솔루션(Solution)학원,서울특별시 강남구 삼성로71길 16,37.5021692,127.0575619,3200,89
렉스김어학원,서울특별시 강남구 도곡로 519,37.5000709,127.0629888,60,229
대치에스디엘(SDL)학원,서울특별시 강남구 선릉로 328,37.4990597,127.0519305,58,75
현대에이플러스보습학원,서울특별시 강남구 삼성로115길 46,37.5140146,127.0483999,22,224
생각이크는학원,서울특별시 강남구 언주로 110,37.4845146,127.054174,60,90
필즈보습학원,서울특별시 강남구 압구정로18길 7,37.5244294,127.0245945,12,172
대치수재보습학원,서울특별시 강남구 도곡로77길 14,37.4992943,127.0585913,20,162
이비보습학원,서울특별시 강남구 압구정로 122,37.5236605,127.0220714,45,144
수서신동아독서실,서울특별시 강남구 광평로47길 17,37.4870722,127.0984431,128,128
인사이트수학원,서울특별시 강남구 도곡로 515,37.4998352,127.0626495,175,216
서울현대음악학원,서울특별시 강남구 압구정로54길 14,37.5270122,127.0393337,325,43
이엠보습학원,서울특별시 강남구 압구정로29길 67,37.5319894,127.0269384,8,111
반석음악학원,서울특별시 강남구 개포로 249,37.4792252,127.0496679,150,48
아게하일본어통역학원,서울특별시 강남구 논현로161길 13,37.523335,127.0270202,10,60
슈파스학원,서울특별시 강남구 삼성로 307,37.4994104,127.0602933,144,0
한솔건축토목학원,서울특별시 강남구 강남대로42길 13,37.4855463,127.0351487,610,208
대치상아보습학원,서울특별시 강남구 도곡로78길 9,37.4975137,127.0593835,14,180
대치청담어학학원,서울특별시 강남구 도곡로 456,37.4982956,127.0603287,158,171
원탑보습학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,226,119
에스지이강남삼성학원,서울특별시 강남구 선릉로64길 14,37.497798,127.0534412,1355,332
삼성경기보습학원,서울특별시 강남구 봉은사로63길 12,37.5121776,127.0471373,15,70
씨이에스학원,서울특별시 강남구 선릉로16길 6,37.4838237,127.0601066,45,273
한국역학대학철학학원,서울특별시 강남구 학동로1길 14,37.5123641,127.0218017,40,40
강남하이퍼학원,서울특별시 강남구 강남대로92길 35,37.4995579,127.0303052,41066,205
강남삼육외국어학원,서울특별시 강남구 학동로47길 15,37.5176824,127.0384332,256,195
현대음악학원,서울특별시 강남구 압구정로29길 68,37.5319756,127.0285632,225,70
대림우등생학원,서울특별시 강남구 강남대로122길 26,37.508223,127.025171,63,255
일원열린학원,서울특별시 강남구 일원로3길 54,37.4924024,127.0842333,40,192
지엠피(GMP)학원,서울특별시 강남구 도곡로 434,37.4976364,127.0579549,10530,68
리더스영어교습소,서울특별시 강남구 일원로3길 34,37.4919468,127.0831146,12,7
윤선생아이지에스이(IGSE)아카데미도곡학원,서울특별시 강남구 남부순환로363길 15,37.4862718,127.0377353,135,192
역삼실용음악학원,서울특별시 강남구 언주로 301,37.4944191,127.0462542,100,120
시대인재87학원,서울특별시 강남구 삼성로57길 22,37.4978398,127.0592568,10530,74
맥사이언스과학교습소,서울특별시 강남구 개포로 512,37.4892714,127.0688177,21,7
에이미술교습소,서울특별시 강남구 개포로82길 13-11,37.4887258,127.0681319,16,9
수학세상학원,서울특별시 강남구 논현로175길 59-6,37.5239546,127.0242293,84,70
독수리수학전문학원,서울특별시 강남구 삼성로 225,37.4971742,127.0613516,30,54
카이스트과학사랑교습소,서울특별시 강남구 압구정로18길 7,37.5244294,127.0245945,3,3
다솔학원,서울특별시 강남구 삼성로 329,37.5010216,127.0594045,704,93
강남중국어학원,서울특별시 강남구 테헤란로5길 18,37.500001,127.0292231,7884,178
홍익화실미술교습소,서울특별시 강남구 개포로 512,37.4892714,127.0688177,18,9
탑브레인학원,서울특별시 서초구 강남대로 627,37.5176791,127.0186716,32,95
모티브학원,서울특별시 강남구 삼성로 343,37.5021222,127.0587731,48,165
컨셉피아카데미미용학원,서울특별시 강남구 압구정로18길 14,37.5239605,127.0245343,134,61
아트테크디자인학원,서울특별시 강남구 봉은사로4길 1 (),37.5046046,127.0261673,40,20
오르앤수학보습학원,서울특별시 강남구 남부순환로 2921,37.4936059,127.0597001,80,73
매쓰무적학원,서울특별시 강남구 남부순환로 2912,37.4908388,127.0572409,91,40
애플트리압구정어학학원,서울특별시 강남구 압구정로 206,37.5273244,127.0295867,64,307
프라우드세븐학원,서울특별시 강남구 삼성로51길 8,37.4968411,127.0610624,48,110
부동산경공매교육학원,서울특별시 강남구 선릉로 531,37.5066027,127.0466564,10,150
토마토피아노교습소,서울특별시 강남구 삼성로115길 37,37.5140229,127.0491662,12,4
로고스논술구술학원,서울특별시 강남구 삼성로 238,37.4986375,127.0614624,114,114
아카데미라운지도곡독서실,서울특별시 강남구 도곡로 174,37.4913335,127.0384772,80,91
시그마베스트학원,서울특별시 강남구 도곡로 184,37.4916885,127.0397809,57,76
한국비만토탈뷰티학원,서울특별시 강남구 개포로 516,37.4888759,127.0716679,60,60
입체조형미술학원,서울특별시 강남구 선릉로82길 7,37.5026506,127.0507057,4425,150
대치2관정상어학원,서울특별시 강남구 영동대로 229,37.4995718,127.0674703,1155,249
강남하이클래스보습학원,서울특별시 강남구 언주로 118,37.4865165,127.0518831,4,198
원인과결과학원,서울특별시 강남구 삼성로 317,37.5002043,127.0598326,100,79
이-스페셜리스트영어학원,서울특별시 강남구 도곡로 521,37.5000321,127.0632277,16,114
압구정파인만초등관학원,서울특별시 강남구 압구정로32길 11,37.5269161,127.0302159,459,511
이앤이학원,서울특별시 강남구 강남대로120길 46,37.5077473,127.0269038,96,71
도민서당한문교습소,서울특별시 강남구 개포로22길 90,37.4750114,127.0527234,27,9
펜토매쓰피엘수학학원,서울특별시 강남구 선릉로 227,37.4958321,127.0527291,48,68
아이비영어교습소,서울특별시 강남구 개포로110길 15,37.4922926,127.0783273,15,6
청출어람학원,서울특별시 강남구 선릉로62길 29,37.4979282,127.054936,92,77
대찬V학원,서울특별시 강남구 도곡로 432,37.4975707,127.0577513,13120,110
브이에스(VS)비상학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,190,75
압구정국어논술전문학원,서울특별시 강남구 논현로164길 6,37.5236143,127.0288819,85,127
아이러브뮤직음악학원,서울특별시 강남구 도산대로 510,37.5239761,127.0488778,30,105
지혜의샘학원,서울특별시 강남구 도곡로77길 26,37.4999822,127.058129,100,104
김정해프랑스어교습소,서울특별시 강남구 도곡로 423,37.497826,127.0567677,4,4
대치원(元)수학학원,서울특별시 강남구 도곡로78길 7,37.4976259,127.0593292,225,75
앞서가는수학교습소,서울특별시 강남구 삼성로67길 47,37.5000401,127.05582,32,3
현대피아노교습소,서울특별시 강남구 학동로63길 11,37.5187478,127.0447799,8,4
이현우고도수학학원,서울특별시 강남구 남부순환로365길 36,37.4876018,127.0398772,70,153
청시지아카데미학원,서울특별시 강남구 강남대로152길 23,37.5177075,127.0212312,90,48
에이플러스피아노교습소,서울특별시 강남구 압구정로18길 17,37.5239097,127.0249117,10,5
김지수연기아카데미학원,서울특별시 강남구 논현로168길 32,37.52332,127.0306953,60,84
리온플러스미술학원,서울특별시 강남구 선릉로86길 15,37.503546,127.0508294,210,54
(주)산에듀김영준국어논술전문학원,서울특별시 강남구 도곡로 409,37.4973819,127.0551699,1560,159
일비수학학원,서울특별시 강남구 삼성로 225,37.4971742,127.0613516,5,126
맨하탄어학원,서울특별시 강남구 강남대로94길 11,37.4995341,127.0282641,10,44
사이리즘아카데미미용학원,서울특별시 강남구 테헤란로77길 11-10,37.5070791,127.0536192,45,60
아이러브음악교습소,서울특별시 강남구 학동로101길 26,37.5223046,127.0577361,20,4
