,영업상태명,도로명주소,업태구분명,위도,경도
173,영업/정상,"서울특별시 강남구 도곡로 504 (대치동,지상1층3,4호)",패스트푸드,37.4988116,127.0616425
174,영업/정상,"서울특별시 강남구 테헤란로25길 17 (역삼동,1층)",커피숍,37.5018112,127.0352111
175,영업/정상,"서울특별시 강남구 테헤란로1길 10, 세경빌딩 지상1층 1호 (역삼동)",편의점,37.4989555,127.0282257
176,영업/정상,"서울특별시 강남구 테헤란로 322 (역삼동,한신인터밸리 319호)",편의점,37.5029732,127.0465325
177,영업/정상,"서울특별시 강남구 도산대로90길 16 (청담동,(지상1층))",패스트푸드,37.5235766,127.048926
178,영업/정상,"서울특별시 강남구 테헤란로 310 (역삼동,지하1층)",편의점,37.5028251,127.0447848
179,영업/정상,"서울특별시 강남구 역삼로 145 (역삼동,지상1층)",패스트푸드,37.4947841,127.0352061
180,영업/정상,"서울특별시 강남구 테헤란로 152 (역삼동,강남파이낸스센터 지하2층)",패스트푸드,37.499927,127.036789
181,영업/정상,"서울특별시 강남구 역삼로5길 21 (역삼동,지상1층)",편의점,37.4951939,127.0317819
182,영업/정상,"서울특별시 강남구 선릉로148길 32 (청담동,지하1층)",편의점,37.5226413,127.0421813
183,영업/정상,"서울특별시 강남구 언주로30길 57 (도곡동,타워팰리스2스타슈퍼지하1층)",패스트푸드,37.4897104,127.0544907
184,영업/정상,"서울특별시 강남구 테헤란로 313 (역삼동,지상1층 112,113호)",편의점,37.5038117,127.0452472
185,영업/정상,"서울특별시 강남구 삼성로85길 11 (대치동,롯데캐슬(아)생활편의시설 지하1층 B14호)",패스트푸드,37.5047553,127.0564488
186,영업/정상,"서울특별시 강남구 도산대로58길 17 (청담동,지상1층)",편의점,37.5220687,127.041532
187,영업/정상,"서울특별시 강남구 봉은사로57길 13 (삼성동,지하1층)",편의점,37.5116276,127.0449346
188,영업/정상,"서울특별시 강남구 테헤란로4길 12 (역삼동,지상1층)",편의점,37.49665160000001,127.0302102
189,영업/정상,"서울특별시 강남구 테헤란로 313 (역삼동,성지하이츠 지상1층 114호)",패스트푸드,37.5038117,127.0452472
190,영업/정상,"서울특별시 강남구 학동로30길 14, 이세빌딩 지상1층 101호 (논현동)",편의점,37.5131534,127.0318824
191,영업/정상,"서울특별시 강남구 테헤란로 322 (역삼동,한신인터밸리103호)",편의점,37.5029732,127.0465325
192,영업/정상,"서울특별시 강남구 강남대로 388 (역삼동,강남센타지하2층202호)",패스트푸드,37.4974272,127.0283935
193,영업/정상,"서울특별시 강남구 강남대로136길 7 (논현동,지상1층)",편의점,37.5131593,127.021385
194,영업/정상,"서울특별시 강남구 선릉로 313 (역삼동,1층자호)",패스트푸드,37.49766169999999,127.051917
195,영업/정상,"서울특별시 강남구 삼성로 155 (대치동,117호)",편의점,37.4991887,127.0633458
196,영업/정상,"서울특별시 강남구 테헤란로 534 (대치동,글라스타워지하1층)",편의점,37.5080019,127.0627646
197,영업/정상,"서울특별시 강남구 선릉로 26 (개포동,JJ빌딩 1층)",패스트푸드,37.4822534,127.0614852
198,영업/정상,"서울특별시 강남구 개포로22길 20 (개포동,일흥빌딩 B02호)",패스트푸드,37.4775359,127.0483077
199,영업/정상,"서울특별시 강남구 선릉로 510, 지상1층 101호 (삼성동, 오성빌딩)",편의점,37.5051676,127.0489466
200,영업/정상,,패스트푸드,0.0,0.0
201,영업/정상,"서울특별시 강남구 봉은사로68길 5 (삼성동,지상1층)",편의점,37.5116249,127.0499617
202,영업/정상,"서울특별시 강남구 언주로107길 29 (역삼동,지상1층)",편의점,37.5072367,127.0368921
203,영업/정상,"서울특별시 강남구 논현로 705 (논현동,지상1층)",편의점,37.5136787,127.0317124
204,영업/정상,"서울특별시 강남구 테헤란로 532 (대치동,지상1층)",편의점,37.5082136,127.0622783
205,영업/정상,"서울특별시 강남구 선릉로 225 (도곡동,도곡렉슬상가1층139호)",패스트푸드,37.4953504,127.0527143
206,영업/정상,"서울특별시 강남구 선릉로 514 (삼성동,성원빌딩 지하1층)",패스트푸드,37.5055713,127.0491588
207,영업/정상,"서울특별시 강남구 압구정로30길 18 (신사동,지상1층)",편의점,37.5263176,127.0290336
208,영업/정상,"서울특별시 강남구 선릉로153길 18 (신사동,지상1층)",편의점,37.5248812,127.0379955
209,영업/정상,"서울특별시 강남구 테헤란로26길 10 (역삼동,지상1층)",편의점,37.4996374,127.035838
210,영업/정상,"서울특별시 강남구 논현로 848, 지하1층,지상1층 (신사동)",패스트푸드,37.5245826,127.0288278
211,영업/정상,"서울특별시 강남구 남부순환로 2917 (대치동,청실상가 101-가 호)",패스트푸드,37.49312949999999,127.059154
212,영업/정상,"서울특별시 강남구 삼성로67길 49 (대치동,지상1층)",편의점,37.4999305,127.0556143
213,영업/정상,"서울특별시 강남구 역삼로 444, 진경빌딩 지상1층 (대치동)",패스트푸드,37.50189400000001,127.055663
214,영업/정상,"서울특별시 강남구 학동로101길 7 (청담동,지상1층)",패스트푸드,37.5208705,127.0576271
215,영업/정상,"서울특별시 강남구 언주로 609 (논현동,팍스타워 지하1층 5호)",편의점,37.5098182,127.036922
216,영업/정상,"서울특별시 강남구 역삼로 408, 1층 101호 (대치동)",커피숍,37.500657,127.0519524
217,영업/정상,,커피숍,0.0,0.0
218,영업/정상,"서울특별시 강남구 강남대로 406 (역삼동,글라스타워1층101호)",패스트푸드,37.4990329,127.0276653
219,영업/정상,"서울특별시 강남구 언주로30길 57 (도곡동,타워팰리스2스타슈퍼점 지하1층)",패스트푸드,37.4897104,127.0544907
220,영업/정상,"서울특별시 강남구 도곡로4길 9 (도곡동,지상1층)",커피숍,37.4894068,127.0335487
221,영업/정상,"서울특별시 강남구 도산대로54길 48-19 (논현동,지상1층)",커피숍,37.5192379,127.0380747
222,영업/정상,"서울특별시 강남구 테헤란로14길 5 (역삼동,지상1층)",커피숍,37.4990902,127.0332052
223,영업/정상,"서울특별시 강남구 테헤란로8길 36 (역삼동,지상1층)",커피숍,37.4964913,127.031845
224,영업/정상,"서울특별시 강남구 학동로 171 (논현동,지상1층)",커피숍,37.5141299,127.0291812
225,영업/정상,"서울특별시 강남구 학동로38길 11 (논현동,지상1층)",커피숍,37.5142309,127.0345508
226,영업/정상,"서울특별시 강남구 논현로 623 (논현동,성지빌딩 1층)",패스트푸드,37.5092518,127.0326905
227,영업/정상,"서울특별시 강남구 밤고개로1길 10 (수서동,현대벤쳐빌 B228)",커피숍,37.4879855,127.1017774
228,영업/정상,"서울특별시 강남구 도곡로27길 47 (역삼동,지상1층)",편의점,37.495853,127.0412998
229,영업/정상,"서울특별시 강남구 테헤란로 152 (역삼동,2호선 역삼역 지하2층내)",편의점,37.500326,127.036087
230,영업/정상,"서울특별시 강남구 테헤란로104길 21 (대치동,아인스트랜드빌딩 지상1층)",커피숍,37.50761869999999,127.0657151
231,영업/정상,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점 지하2층)",커피숍,37.5273268,127.0274265
232,영업/정상,"서울특별시 강남구 선릉로 836 (청담동,지상1,2층)",커피숍,37.52654580000001,127.0405746
233,영업/정상,"서울특별시 강남구 역삼로14길 14, 지상1층 (역삼동)",패스트푸드,37.4936284,127.0354675
234,영업/정상,"서울특별시 강남구 테헤란로 309 (역삼동,삼성제일빌딩 지하1층 7호)",패스트푸드,37.50351930000001,127.0444189
235,영업/정상,서울특별시 강남구 삼성로71길 34 (대치동),패스트푸드,37.5016541,127.0561169
236,영업/정상,"서울특별시 강남구 테헤란로6길 47 (역삼동,지상1층)",편의점,37.4956043,127.0318223
237,영업/정상,"서울특별시 강남구 도산대로24길 15 (논현동,상원빌딩 지하1층 101호)",패스트푸드,37.5180123,127.0266911
238,영업/정상,"서울특별시 강남구 학동로55길 12 (청담동,지상1층)",커피숍,37.518272,127.0420323
239,영업/정상,서울특별시 강남구 일원로 28 (일원동),패스트푸드,37.4912691,127.0793073
240,영업/정상,서울특별시 강남구 선릉로129길 5 (논현동),편의점,37.5162371,127.0410506
241,영업/정상,"서울특별시 강남구 역삼로20길 21 (역삼동,지하1층)",패스트푸드,37.4940456,127.0383796
242,영업/정상,"서울특별시 강남구 개포로116길 19 (일원동,지상1층)",커피숍,37.4930225,127.0818433
243,영업/정상,"서울특별시 강남구 선릉로116길 8 (삼성동,지상1층)",편의점,37.51246620000001,127.0438252
244,영업/정상,"서울특별시 강남구 언주로 314 (역삼동,강남프라자103호)",커피숍,37.5012195,127.0249718
