지번주소,업태구분명,위도,경도
서울특별시 노원구 하계동 284번지 세이브존 노원점 지하1층,패스트푸드,37.6378658,127.068707
서울특별시 노원구 중계동 359-11번지 성모빌딩 501호,커피숍,37.6511746,127.0764616
서울특별시 노원구 상계동 456-99번지,패스트푸드,37.6629886,127.0667512
서울특별시 노원구 중계동 503번지 중계그린아파트 B상가동 116호,커피숍,37.6415758,127.0635039
서울특별시 노원구 상계동 712 1층,커피숍,37.6547654,127.060017
서울특별시 노원구 공릉동 398-21번지 남경빌딩,커피숍,37.6246808,127.0729394
서울특별시 노원구 공릉동 617-7번지 101호,커피숍,37.6188279,127.0756298
서울특별시 노원구 상계동 580-9 도봉면허시험장 1층,커피숍,37.6579685,127.0588244
서울특별시 노원구 공릉동 441-19번지 세림빌딩,패스트푸드,37.6278624,127.0776525
서울특별시 노원구 중계동 583번지 중계동금호타운상가동 101호,편의점,37.6470263,127.0812771
서울특별시 노원구 월계동 912-3번지,커피숍,37.6324577,127.0429521
서울특별시 노원구 중계동 509번지 이천일아울렛,커피숍,37.6413039,127.0679877
서울특별시 노원구 공릉동 615-22번지 영흥빌딩,커피숍,37.6196134,127.0745975
서울특별시 노원구 상계동 156-6번지 3층,커피숍,37.6624978,127.0727803
서울특별시 노원구 상계동 1116-74번지 102호,커피숍,37.6761423,127.0571793
"서울특별시 노원구 공릉동 240-250번지 지상1층, 지하1층",패스트푸드,37.6208425,127.0830671
서울특별시 노원구 공릉동 27-11번지 지상1층,커피숍,37.6264783,127.0943375
서울특별시 노원구 하계동 78-1 제1학생회관 1층,커피숍,37.6345237,127.0772813
서울특별시 노원구 상계동 456-133번지,패스트푸드,37.6647798,127.0664431
서울특별시 노원구 공릉동 89-1번지,패스트푸드,37.6208105,127.0836023
서울특별시 노원구 월계동 85번지,패스트푸드,37.6234098,127.0622569
서울특별시 노원구 상계동 1255번지 은빛아파트 상가동 104호,패스트푸드,37.6815167,127.0538446
"서울특별시 노원구 상계동 341-5 큐비스트빌딩 B101, 101, 201",커피숍,37.6563246,127.0643071
서울특별시 노원구 상계동 111-491번지,커피숍,37.6708411,127.0803776
서울특별시 노원구 공릉동 350-16번지 1층 101호,패스트푸드,37.6247095,127.0778703
서울특별시 노원구 상계동 177-99번지,커피숍,37.6566213,127.0690787
서울특별시 노원구 상계동 1054-6번지 1층,커피숍,37.6732721,127.0517363
서울특별시 노원구 중계동 361-1번지 롯데우성아파트상가 201호,커피숍,37.6468287,127.0728289
서울특별시 노원구 상계동 169-292번지,커피숍,37.6587417,127.0703028
서울특별시 노원구 상계동 620-1번지,커피숍,37.6694488,127.0504336
서울특별시 노원구 공릉동 557-22번지 102호,편의점,37.6244488,127.0767369
서울특별시 노원구 하계동 251번지 하계1차청구아파트 205동 106호,패스트푸드,37.6390554,127.0721805
서울특별시 노원구 상계동 751-4번지 아라빌딩 2층,커피숍,37.6521365,127.0654852
서울특별시 노원구 상계동 1102-1번지,편의점,37.6752493,127.0541707
서울특별시 노원구 공릉동 90-4번지 우토파크프라자 1층 GS슈퍼 내,커피숍,37.6218823,127.0865752
서울특별시 노원구 중계동 364-22번지,커피숍,37.6504079,127.0770904
서울특별시 노원구 중계동 366번지,커피숍,37.6519314,127.0795434
"서울특별시 노원구 중계동 505번지 롯데상가 4층 6,7호",커피숍,37.639083,127.0637924
서울특별시 노원구 상계동 111-84번지 2구역 22블럭31롯트,커피숍,37.6707124,127.0780354
서울특별시 노원구 상계동 603-2번지 A동 103호,커피숍,37.6570026,127.0618733
서울특별시 노원구 상계동 95-199번지 1층,패스트푸드,37.6636282,127.0764046
서울특별시 노원구 상계동 763-6번지,커피숍,37.6486893,127.0618793
서울특별시 노원구 중계동 84-19,커피숍,37.6498756,127.0825982
서울특별시 노원구 하계동 213-1번지 1층,커피숍,37.6406902,127.0702533
서울특별시 노원구 하계동 273,커피숍,37.6337017,127.0678655
서울특별시 노원구 상계동 389-50번지,편의점,37.6590229,127.0671534
서울특별시 노원구 중계동 606번지,커피숍,37.6591605,127.0744704
서울특별시 노원구 공릉동 593-1번지 1층,편의점,37.6211893,127.075667
서울특별시 노원구 상계동 1267번지 토마토파르코 104호,커피숍,37.6801858,127.0558304
서울특별시 노원구 상계동 292-1번지 와우쇼핑몰3층,커피숍,37.6553676,127.0639688
서울특별시 노원구 상계동 729 지하1층 1720호,패스트푸드,37.6535077,127.0608068
서울특별시 노원구 월계동 905-10번지 외 1필지(1층),커피숍,37.6321723,127.0443699
서울특별시 노원구 상계동 764-1번지,커피숍,37.6467419,127.0626243
서울특별시 노원구 월계동 25-2번지 석계역 6호선 지하2층,커피숍,37.6150815,127.0657675
"서울특별시 노원구 상계동 1022 1층, 2층",패스트푸드,37.6723792,127.0561814
서울특별시 노원구 중계동 359-7번지 주공5단지2상가 101호,커피숍,37.6515734,127.0749806
서울특별시 노원구 공릉동 437-2번지,편의점,37.629584,127.0763951
서울특별시 노원구 하계동 251 하계1차청구아파트 제206동제 1층 101호,커피숍,37.6390554,127.0721805
"서울특별시 노원구 중계동 506번지 브라운스톤중계상가 171,172호",커피숍,37.6399359,127.0642574
서울특별시 노원구 상계동 767-6번지 상계주공1단지 유치원 1층,커피숍,37.6472467,127.0595377
서울특별시 노원구 하계동 208-27번지,커피숍,37.6390993,127.0698735
"서울특별시 노원구 공릉동 435-2번지 1,2,3층",패스트푸드,37.6297189,127.0761329
서울특별시 노원구 상계동 169-542번지 하나은행,커피숍,37.6742103,127.0842054
서울특별시 노원구 중계동 360-9번지 두타빌 A동 109호,커피숍,37.649542,127.0763583
서울특별시 노원구 상계동 1264번지 은빛3단지아파트상가,편의점,37.6828275,127.0565974
"서울특별시 노원구 상계동 332-1 1층, 지하1층",커피숍,37.6558914,127.0639904
서울특별시 노원구 상계동 374-1번지 2층,커피숍,37.6576117,127.0673792
서울특별시 노원구 공릉동 26-17 국제스케이트장,커피숍,37.637175,127.1058764
서울특별시 노원구 공릉동 379-21번지 2층,커피숍,37.6265491,127.0721551
서울특별시 노원구 공릉동 87-5번지 공릉청소년문화센터1층,커피숍,37.6215868,127.0830663
서울특별시 노원구 하계동 64-9번지,편의점,37.6367405,127.0762311
서울특별시 노원구 월계동 333-1 월계점1버블티,커피숍,37.6273402,127.0618582
서울특별시 노원구 상계동 1119-51번지 1층,커피숍,37.6754978,127.0561027
