학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
음악에끌림음악교습소,서울특별시 광진구 자양번영로 47-3,37.5338199,127.0754885,16,4.0,4.0,95.0,3971.0,69.0,56.0,11.0
광진ELC어학원,서울특별시 광진구 광나루로 608,37.541167,127.0953041,116,96.0,96.0,218.0,11416.0,186.0,89.0,2.0
아트인마인드미술교습소,서울특별시 광진구 아차산로 552,37.5431583,127.1041888,15,9.0,9.0,34.0,1045.0,36.0,83.0,10.0
선진영어학원,서울특별시 광진구 용마산로 85,37.5612688,127.0871376,30,71.0,30.0,53.0,3010.0,43.0,66.0,12.0
중곡예화음악학원,서울특별시 광진구 능동로49길 19,37.5644802,127.0822388,190,20.0,20.0,52.0,2636.0,99.0,101.0,22.0
리더스영어학원,서울특별시 광진구 아차산로 461,37.5398941,127.0932358,100,72.0,72.0,207.0,11346.0,233.0,135.0,6.0
체리힐아카데미어학원,서울특별시 광진구 아차산로 431,37.538653,127.0901794,58,50.0,50.0,84.0,3770.0,192.0,102.0,12.0
광진커피바리스타학원,서울특별시 광진구 아차산로 431,37.538653,127.0901794,530,61.0,61.0,84.0,3759.0,192.0,102.0,12.0
티에스과학교습소,서울특별시 광진구 아차산로65길 9,37.54070859999999,127.0941005,20,4.0,4.0,213.0,11835.0,193.0,118.0,4.0
하트앤아트미술교습소,서울특별시 광진구 아차산로42길 31,37.5360708,127.0789478,15,5.0,5.0,53.0,2894.0,54.0,66.0,12.0
탑브레인보습학원,서울특별시 광진구 자양로 242,37.5479471,127.0888685,88,73.0,73.0,46.0,1953.0,36.0,57.0,12.0
초중자기주도학습학원,서울특별시 광진구 광나루로 602,37.5417868,127.0946996,40,76.0,40.0,209.0,11395.0,186.0,96.0,4.0
강샘우샘영수보습학원,서울특별시 광진구 천호대로 698,37.5491667,127.0916109,165,74.0,74.0,50.0,1958.0,44.0,58.0,22.0
에콜로지에미술교습소,서울특별시 광진구 아차산로70길 26,37.54196659999999,127.1011914,90,9.0,9.0,95.0,4547.0,70.0,97.0,2.0
강의하는아이들수학교습소,서울특별시 광진구 광나루로 608,37.541167,127.0953041,15,9.0,9.0,218.0,11503.0,186.0,89.0,2.0
강선생수학교습소,서울특별시 광진구 동일로72길 30,37.5655542,127.0792109,6,3.0,3.0,26.0,1054.0,81.0,84.0,28.0
팝콘수학교습소,서울특별시 광진구 긴고랑로30길 45,37.5577447,127.087232,12,3.0,3.0,83.0,2787.0,99.0,59.0,49.0
잼실용음악학원,서울특별시 광진구 능동로 259,37.5533554,127.0770477,300,74.0,74.0,17.0,819.0,46.0,57.0,4.0
이챕터스보습학원,서울특별시 광진구 아차산로 477,37.540732,127.094682,60,76.0,60.0,221.0,11621.0,188.0,105.0,4.0
YBM시사주니어영어교습소,서울특별시 광진구 천호대로113길 7,37.5576532,127.0831378,161,7.0,7.0,66.0,1951.0,75.0,75.0,53.0
군자해법수학교습소,서울특별시 광진구 군자로12길 46,37.5512693,127.0726281,18,6.0,6.0,23.0,1081.0,38.0,72.0,10.0
카페플래닝커피학원,서울특별시 광진구 자양로 124,37.5387558,127.0835682,130,85.0,85.0,40.0,2200.0,74.0,42.0,17.0
명문고려보습학원,서울특별시 광진구 능동로 372,37.56239670000001,127.0826701,855,118.0,118.0,66.0,2944.0,88.0,95.0,13.0
광진전문가집단보습학원,서울특별시 광진구 용마산로 111,37.5635935,127.0866729,530,72.0,72.0,46.0,2778.0,74.0,71.0,10.0
닥터엠수학교습소,서울특별시 광진구 아차산로 552,37.5431583,127.1041888,32,4.0,4.0,34.0,1050.0,36.0,83.0,10.0
광진영재보습학원,서울특별시 광진구 자양번영로 18,37.5311623,127.0753313,60,73.0,60.0,73.0,3167.0,73.0,52.0,12.0
시그마보습학원,서울특별시 광진구 아차산로 479,37.5408115,127.0948355,60,69.0,60.0,221.0,11621.0,188.0,104.0,4.0
모네의정원미술교습소,서울특별시 광진구 자양로22길 24,37.5394904,127.0846921,45,5.0,5.0,47.0,2575.0,83.0,53.0,17.0
위드써니보습학원,서울특별시 광진구 광나루로54길 6,37.5405539,127.0958609,138,69.0,69.0,222.0,11635.0,185.0,93.0,2.0
제이아카데미학원,서울특별시 광진구 아차산로69길 8,37.5425891,127.0984974,180,0.0,0.0,191.0,10613.0,72.0,98.0,0.0
소리엘음악학원,서울특별시 광진구 능동로6길 16,37.5340972,127.0690377,450,49.0,49.0,72.0,2683.0,149.0,48.0,10.0
디딤돌미술학원,서울특별시 광진구 자양번영로 23-1,37.5318399,127.0750585,45,57.0,45.0,79.0,3315.0,69.0,52.0,12.0
동그라미미술교습소,서울특별시 광진구 뚝섬로36가길 6,37.5322217,127.0709095,12,7.0,7.0,101.0,4219.0,146.0,59.0,7.0
매썬스수학과학보습학원,서울특별시 광진구 아차산로69길 8,37.5425891,127.0984974,172,69.0,69.0,191.0,10544.0,72.0,98.0,0.0
와이비엠건대어학원,서울특별시 광진구 아차산로 229,37.54081559999999,127.0690315,1295,294.0,294.0,27.0,1711.0,176.0,31.0,13.0
웅진씽크빅중곡학원,서울특별시 광진구 용마산로24길 14,37.5651577,127.0876054,220,70.0,70.0,41.0,2394.0,59.0,59.0,8.0
광진구주이배수학보습학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,170,296.0,170.0,214.0,11495.0,186.0,98.0,2.0
독카실용음악학원,서울특별시 광진구 뚝섬로 523,37.5355675,127.0681911,10,50.0,10.0,71.0,2744.0,188.0,51.0,8.0
와이리더스컴퓨터학원,서울특별시 광진구 능동로 339,37.5599223,127.0807312,278,53.0,53.0,50.0,1908.0,90.0,109.0,42.0
자양신양해법수학교습소,서울특별시 광진구 능동로6길 22,37.534056,127.0692057,6,2.0,2.0,72.0,2730.0,149.0,48.0,10.0
레인메이커보습학원,서울특별시 광진구 뚝섬로 539,37.5350424,127.0700693,150,95.0,95.0,81.0,2834.0,174.0,48.0,7.0
시냇가에심은나무미술학원,서울특별시 광진구 광나루로54길 9,37.5402018,127.095901,32,53.0,32.0,218.0,11480.0,185.0,102.0,4.0
생각또질문철학논술교습소,서울특별시 광진구 구의강변로 96,37.5384981,127.0946643,29,6.0,6.0,192.0,10495.0,238.0,133.0,6.0
이튼클래스보습학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,550,145.0,145.0,86.0,3144.0,174.0,53.0,7.0
아담리즈수학광진직영학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,56,80.0,56.0,221.0,11692.0,188.0,124.0,4.0
서림학원,서울특별시 광진구 면목로 149,37.5667137,127.0815406,56,68.0,56.0,29.0,1058.0,97.0,94.0,24.0
에프엑스수학교습소,서울특별시 광진구 아차산로 530,37.5419395,127.0996713,30,5.0,5.0,156.0,8383.0,72.0,95.0,0.0
광진이은재어학학원,서울특별시 광진구 아차산로 478,37.540312,127.095016,925,50.0,50.0,221.0,11631.0,188.0,114.0,4.0
엠아이실용음악학원,서울특별시 광진구 광나루로56길 63,37.53739729999999,127.0976212,3,49.0,3.0,119.0,5693.0,99.0,90.0,6.0
브랜뉴실용음악학원,서울특별시 광진구 아차산로 360,37.5364337,127.0826331,225,30.0,30.0,29.0,1893.0,68.0,42.0,13.0
비더원영어학원,서울특별시 광진구 광나루로 582,37.5430855,127.0933652,112,180.0,112.0,175.0,10758.0,183.0,84.0,6.0
하이클래스영어보습학원,서울특별시 광진구 뚝섬로58길 5,37.5316134,127.0842526,40,75.0,40.0,59.0,2449.0,150.0,63.0,8.0
행복한제자들수학교습소,서울특별시 광진구 용마산로 160,37.5678471,127.0863908,24,4.0,4.0,22.0,1532.0,71.0,85.0,6.0
튜터링랩(TutoringLAB)학원,서울특별시 광진구 자양로 163,37.5422422,127.0837783,472,70.0,70.0,39.0,1621.0,64.0,12.0,12.0
드림아트우리들미술교습소,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,27,9.0,9.0,86.0,3280.0,174.0,53.0,7.0
아이노미술학원,서울특별시 광진구 아차산로69길 6,37.5423625,127.098436,12,52.0,12.0,192.0,10607.0,72.0,98.0,0.0
해법중마영어교습소,서울특별시 광진구 동일로72길 42,37.5653782,127.0797526,60,6.0,6.0,26.0,1051.0,84.0,82.0,26.0
안티영어학원,서울특별시 광진구 아차산로 491,37.5418283,127.0959883,100,88.0,88.0,215.0,11579.0,186.0,98.0,0.0
일등수학뮤엠영어학원,서울특별시 광진구 동일로72길 10,37.5659496,127.0781452,375,71.0,71.0,24.0,699.0,68.0,54.0,32.0
늘봄미술교습소,서울특별시 광진구 용마산로7길 30,37.5595393,127.0861376,98,7.0,7.0,88.0,3811.0,68.0,68.0,18.0
논리&표현논술교습소,서울특별시 광진구 천호대로113길 5,37.5575368,127.0830728,35,5.0,5.0,66.0,1953.0,75.0,75.0,53.0
비엠에스(BMS)수학보습학원,서울특별시 광진구 용마산로 46,37.5576487,127.0882603,50,75.0,50.0,68.0,1823.0,100.0,47.0,14.0
연세법학원,서울특별시 광진구 천호대로 590,37.555382,127.0830775,1100,75.0,75.0,60.0,1625.0,63.0,54.0,47.0
밸런스뮤직실용음악학원,서울특별시 광진구 천호대로 553,37.5573989,127.0799164,540,61.0,61.0,59.0,1946.0,74.0,84.0,42.0
블루버드아트미술학원,서울특별시 광진구 능동로6길 16,37.5340972,127.0690377,66,56.0,56.0,72.0,2676.0,149.0,48.0,10.0
위너스영어학원,서울특별시 광진구 군자로 84,37.5505216,127.071161,140,73.0,73.0,21.0,1005.0,46.0,68.0,10.0
오디션벨아카데미학원,서울특별시 광진구 광나루로 496,37.5448591,127.0844899,93,409.0,93.0,39.0,1492.0,48.0,15.0,8.0
그린미술교습소,서울특별시 광진구 아차산로36길 35,37.5363514,127.0745967,84,6.0,6.0,82.0,3664.0,75.0,49.0,10.0
빡쎈위드교육학원,서울특별시 광진구 광나루로 580,37.5432411,127.0932438,196,0.0,0.0,176.0,10879.0,98.0,82.0,6.0
차선생영어교습소,서울특별시 광진구 아차산로 522,37.5419395,127.0996713,24,9.0,9.0,156.0,8379.0,72.0,95.0,0.0
구의미술로생각하기학원,서울특별시 광진구 광나루로 584,37.54305129999999,127.0935523,10,30.0,10.0,171.0,10900.0,177.0,84.0,6.0
해법삼성보습학원,서울특별시 광진구 용마산로3길 98,37.5573684,127.0829801,1060,70.0,70.0,66.0,1888.0,74.0,75.0,51.0
셀파우등생보습학원,서울특별시 광진구 군자로 83,37.5505861,127.0708846,45,78.0,45.0,19.0,902.0,45.0,68.0,10.0
비상매쓰캔수학교습소,서울특별시 광진구 용마산로3길 98,37.5573684,127.0829801,54,9.0,9.0,66.0,1949.0,74.0,75.0,51.0
크레버스영재교육센터광진제1지점학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,100,120.0,100.0,214.0,11565.0,186.0,98.0,2.0
뮤엘음악교습소,서울특별시 광진구 뚝섬로52가길 42,37.5307311,127.0814715,25,5.0,5.0,53.0,1846.0,79.0,60.0,16.0
지원수학교습소,서울특별시 광진구 뚝섬로37길 11,37.5350143,127.0716811,63,9.0,9.0,105.0,4307.0,175.0,62.0,7.0
푸른꿈보습학원,서울특별시 광진구 천호대로111길 35,37.557918,127.0825732,215,74.0,74.0,66.0,1952.0,76.0,96.0,50.0
에듀플러스보습학원,서울특별시 광진구 뚝섬로 535,37.5351115,127.0696917,170,71.0,71.0,79.0,2846.0,178.0,48.0,10.0
광진심슨어학보습학원,서울특별시 광진구 광나루로 604,37.5415728,127.0949101,780,280.0,280.0,209.0,11247.0,186.0,91.0,2.0
김은미수학교습소,서울특별시 광진구 자양로26길 61,37.5409948,127.0874042,35,5.0,5.0,51.0,2006.0,185.0,64.0,18.0
해법영어교습소,서울특별시 광진구 자양번영로2길 26,37.5301694,127.0763777,16,4.0,4.0,56.0,2195.0,78.0,40.0,14.0
광진뮤엠영어학원,서울특별시 광진구 자양로50길 8,37.5518766,127.0927995,80,72.0,72.0,42.0,2137.0,91.0,87.0,24.0
더피아노교습소,서울특별시 광진구 용마산로22길 11-5,37.5638394,127.0875682,32,9.0,9.0,46.0,2841.0,65.0,67.0,10.0
다빈치키드미술교습소,서울특별시 광진구 뚝섬로37길 11,37.5350143,127.0716811,54,9.0,9.0,105.0,4307.0,175.0,62.0,7.0
런던인예술미술교습소,서울특별시 광진구 아차산로70길 61,37.5397145,127.1000979,91,7.0,7.0,142.0,6498.0,80.0,69.0,0.0
책과크는아이들논술교습소,서울특별시 광진구 뚝섬로35길 9,37.5356572,127.0700386,36,9.0,9.0,80.0,3124.0,177.0,54.0,7.0
생생중국어교습소,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,27,9.0,9.0,214.0,11503.0,92.0,97.0,0.0
델타수학교습소,서울특별시 광진구 면목로 141-1,37.566157,127.0811999,99,9.0,9.0,29.0,1105.0,97.0,103.0,34.0
나룰음악학원,서울특별시 광진구 뚝섬로36길 18,37.5334492,127.0704997,200,46.0,46.0,106.0,4331.0,140.0,59.0,9.0
강남컴퓨터학원,서울특별시 광진구 자양로50길 33-1,37.5524022,127.0941511,18,49.0,18.0,37.0,1946.0,54.0,78.0,24.0
참수학교습소,서울특별시 광진구 뚝섬로36길 14,37.53376069999999,127.0712458,36,9.0,9.0,108.0,4379.0,137.0,59.0,9.0
자양어린이바둑교습소,서울특별시 광진구 자양번영로 44,37.5335142,127.0760091,32,8.0,8.0,86.0,3419.0,77.0,55.0,6.0
국풀국어다올학원,서울특별시 광진구 광나루로 590,37.5425759,127.0939174,114,70.0,70.0,201.0,11339.0,174.0,81.0,4.0
조이피아노음악교습소,서울특별시 광진구 아차산로 530,37.5419395,127.0996713,42,6.0,6.0,156.0,8382.0,72.0,95.0,0.0
점프업수학교습소,서울특별시 광진구 자양번영로6길 26,37.5320493,127.0769525,27,9.0,9.0,65.0,2409.0,86.0,53.0,14.0
제이든팝송영어교습소,서울특별시 광진구 광나루로32길 5,37.5448069,127.0837707,13,9.0,9.0,36.0,1397.0,39.0,18.0,8.0
해법광장아카데미영어교습소,서울특별시 광진구 아차산로 499,37.5424654,127.0962926,63,9.0,9.0,214.0,11503.0,92.0,97.0,0.0
청구이화어학원,서울특별시 광진구 아차산로 503-23,37.5424654,127.0962926,94,80.0,80.0,214.0,11432.0,92.0,97.0,0.0
수인비초중등관학원,서울특별시 광진구 용마산로 114,37.5638778,127.0871117,280,68.0,68.0,46.0,2782.0,66.0,75.0,10.0
상상공간미술이야기미술학원,서울특별시 광진구 능동로4길 71,37.5317118,127.0707183,41,55.0,41.0,89.0,3755.0,140.0,56.0,5.0
오성컴퓨터교습소,서울특별시 광진구 뚝섬로36가길 15,37.5322136,127.0716289,55,9.0,9.0,102.0,4179.0,140.0,59.0,7.0
더랩(THE LAB)100℃영어교습소,서울특별시 광진구 자양로 245,37.54851,127.0887796,24,9.0,9.0,46.0,1929.0,33.0,63.0,28.0
자양심슨어학학원,서울특별시 광진구 뚝섬로 552,37.5342435,127.0712757,900,296.0,296.0,109.0,4106.0,152.0,59.0,7.0
밀알국어교습소,서울특별시 광진구 광나루로54길 83,37.5376527,127.0944389,9,9.0,9.0,169.0,8847.0,233.0,133.0,6.0
음악숲음악교습소,서울특별시 광진구 뚝섬로46길 53,37.5303763,127.0764387,13,5.0,5.0,57.0,2202.0,80.0,40.0,14.0
M2M수학교습소,서울특별시 광진구 뚝섬로56길 14,37.5308633,127.0824316,18,9.0,9.0,50.0,1916.0,70.0,58.0,8.0
열리는수학교습소,서울특별시 광진구 뚝섬로 520-1,37.5353025,127.0679524,40,8.0,8.0,70.0,2743.0,155.0,48.0,10.0
라온국어보습학원,서울특별시 광진구 아차산로 471,37.5404134,127.0939444,190,30.0,30.0,212.0,11746.0,196.0,131.0,6.0
닥터정이클래스광진구의보습학원,서울특별시 광진구 아차산로69길 8,37.5425891,127.0984974,240,70.0,70.0,191.0,10543.0,72.0,98.0,0.0
상상스튜디오미술교습소,서울특별시 광진구 긴고랑로1길 39,37.5657316,127.078063,15,9.0,9.0,25.0,930.0,68.0,55.0,28.0
엘리트랭귀지센터어학원,서울특별시 광진구 능동로 239,37.55171199999999,127.0763045,200,297.0,200.0,23.0,944.0,43.0,39.0,6.0
기틀수학보습학원,서울특별시 광진구 뚝섬로52길 13,37.5313052,127.0794528,90,60.0,60.0,84.0,3342.0,89.0,54.0,12.0
범연기학원,서울특별시 광진구 능동로13길 39,37.5435023,127.0699004,32,16.0,16.0,23.0,1852.0,163.0,40.0,9.0
보이스코드실용음악학원,서울특별시 광진구 면목로 32,37.55686499999999,127.0764746,13,50.0,13.0,20.0,1010.0,63.0,93.0,27.0
바라크미술교습소,서울특별시 광진구 용마산로3길 95,37.5571534,127.0829477,16,9.0,9.0,66.0,1949.0,74.0,74.0,51.0
영어종결자학원,서울특별시 광진구 자양번영로 20,37.531379,127.0753883,120,70.0,70.0,73.0,3157.0,76.0,53.0,12.0
튼튼영어마스터클럽광진중곡보습학원,서울특별시 광진구 영화사로 27,37.5572099,127.0903069,250,71.0,71.0,45.0,1315.0,95.0,63.0,10.0
한울독서실,서울특별시 광진구 천호대로137길 9,37.5494558,127.0928372,50,50.0,50.0,46.0,1963.0,37.0,53.0,24.0
댄스필리아댄스스포츠학원,서울특별시 광진구 천호대로 571,37.5566995,127.0816783,81,90.0,81.0,68.0,1990.0,72.0,81.0,47.0
동심음악교습소,서울특별시 광진구 천호대로111길 57,37.5588055,127.083054,60,6.0,6.0,71.0,2503.0,71.0,90.0,42.0
해법구의아카데미보습학원,서울특별시 광진구 광나루로30길 37,37.5435372,127.0816888,117,75.0,75.0,26.0,1172.0,38.0,12.0,10.0
거짓말같은기적연기학원,서울특별시 광진구 능동로 338,37.5594924,127.0810349,48,107.0,48.0,57.0,2030.0,83.0,105.0,42.0
늘푸른수학원,서울특별시 광진구 아차산로 471,37.5404134,127.0939444,450,129.0,129.0,212.0,11647.0,196.0,131.0,6.0
홍익화실미술학원,서울특별시 광진구 뚝섬로 510,37.53551580000001,127.0669432,170,55.0,55.0,64.0,2662.0,166.0,45.0,8.0
더프라임(The Prime)수학학원,서울특별시 광진구 아차산로 461,37.5398941,127.0932358,160,74.0,74.0,207.0,11344.0,233.0,135.0,6.0
예지원음악교습소,서울특별시 광진구 용마산로3길 82,37.5570503,127.0838135,15,5.0,5.0,64.0,1915.0,69.0,73.0,51.0
폴린뮤직학원,서울특별시 광진구 능동로13길 39,37.5435023,127.0699004,460,30.0,30.0,23.0,1838.0,163.0,40.0,9.0
고릴라잉글리쉬영어교습소,서울특별시 광진구 자양로3길 68,37.5295734,127.0829834,27,9.0,9.0,46.0,1803.0,122.0,52.0,10.0
고릴라크루댄스학원,서울특별시 광진구 구의로 6,37.538514,127.0893773,180,100.0,100.0,63.0,2815.0,188.0,90.0,8.0
웅진씽크빅학습센터대원학원,서울특별시 광진구 용마산로 116,37.5640446,127.087083,220,90.0,90.0,44.0,2731.0,66.0,76.0,10.0
토즈스터디센터광장독서실,서울특별시 광진구 광나루로 620,37.5407033,127.0960559,1319,168.0,168.0,223.0,11674.0,184.0,90.0,2.0
(Poly)광진폴리어학원,서울특별시 광진구 자양로 113,37.5378865,127.0829817,336,150.0,150.0,35.0,2165.0,58.0,37.0,17.0
대원킨더아카데미어학원,서울특별시 광진구 용마산로22길 28,37.5639248,127.0884984,226,209.0,209.0,36.0,2111.0,51.0,54.0,6.0
광진피케이독학학원,서울특별시 광진구 아차산로 457,37.5396506,127.0928649,220,100.0,100.0,189.0,11150.0,233.0,131.0,8.0
진음악교습소,서울특별시 광진구 용마산로3길 19,37.5560598,127.086913,15,5.0,5.0,75.0,2445.0,98.0,53.0,47.0
선과색미술학원,서울특별시 광진구 천호대로 677,37.5508152,127.0907388,380,150.0,150.0,51.0,2042.0,90.0,61.0,22.0
진명보습학원,서울특별시 광진구 광나루로 590,37.5425759,127.0939174,126,75.0,75.0,201.0,11334.0,174.0,81.0,4.0
멘토링수학교습소,서울특별시 광진구 영화사로3길 18,37.5576478,127.0910869,121,9.0,9.0,38.0,1203.0,54.0,54.0,10.0
제스트연기학원,서울특별시 광진구 자양로 149,37.5411537,127.0833362,30,73.0,30.0,41.0,1872.0,70.0,18.0,10.0
써밋뮤지션음악학원,서울특별시 광진구 긴고랑로29길 39,37.5616697,127.0863785,170,57.0,57.0,55.0,2939.0,58.0,66.0,14.0
엘리트영재보습학원,서울특별시 광진구 광나루로46길 3,37.5434518,127.0929563,121,70.0,70.0,172.0,10755.0,42.0,75.0,6.0
이지에이아카데미학원,서울특별시 광진구 능동로 264,37.5535051,127.0778422,40,47.0,40.0,19.0,1001.0,43.0,67.0,37.0
물고기미술교습소,서울특별시 광진구 구의강변로 87,37.5384956,127.0936405,18,9.0,9.0,192.0,10492.0,245.0,145.0,6.0
혜윰국어교습소,서울특별시 광진구 자양로 246,37.5483357,127.0892117,8,9.0,8.0,49.0,2142.0,33.0,65.0,28.0
청담이레수학교습소,서울특별시 광진구 뚝섬로 504-1,37.5357644,127.0662048,8,4.0,4.0,52.0,2042.0,162.0,44.0,8.0
빅토리미술교습소,서울특별시 광진구 광나루로56길 32,37.5386271,127.0958742,21,7.0,7.0,197.0,10302.0,210.0,112.0,6.0
노꿈아주산교습소,서울특별시 광진구 아차산로70길 62,37.5406205,127.0986045,21,7.0,7.0,206.0,10453.0,83.0,97.0,0.0
문제해결수학교습소,서울특별시 광진구 광나루로38길 73,37.54160150000001,127.0873097,8,4.0,4.0,56.0,2237.0,105.0,67.0,18.0
이승문의언어의발견학원,서울특별시 광진구 아차산로49길 41-5,37.5387246,127.0839647,60,103.0,60.0,37.0,2306.0,72.0,54.0,17.0
스카이영어수학학원,서울특별시 광진구 군자로 85-1,37.55091530000001,127.0709417,100,73.0,73.0,21.0,1005.0,45.0,60.0,10.0
톡톡학원,서울특별시 광진구 아차산로 294,37.5382134,127.0755469,544,115.0,115.0,27.0,693.0,72.0,23.0,10.0
광장영어교습소,서울특별시 광진구 아차산로65길 9,37.54070859999999,127.0941005,10,7.0,7.0,213.0,11832.0,193.0,118.0,4.0
그라쯔음악교습소,서울특별시 광진구 자양로3길 61,37.5295231,127.083325,14,6.0,6.0,47.0,1808.0,121.0,52.0,6.0
창조수학학원,서울특별시 광진구 광나루로 584,37.54305129999999,127.0935523,105,74.0,74.0,171.0,10836.0,177.0,84.0,6.0
건대위드피아노학원,서울특별시 광진구 아차산로 191,37.5420462,127.0651456,65,23.0,23.0,22.0,1834.0,110.0,21.0,16.0
메이킹학원,서울특별시 광진구 아차산로 294,37.5382134,127.0755469,52,92.0,52.0,27.0,756.0,72.0,23.0,10.0
자올독서논술교습소,서울특별시 광진구 자양로3길 68,37.5295734,127.0829834,33,3.0,3.0,46.0,1809.0,122.0,52.0,10.0
라임(Lime)학원,서울특별시 광진구 자양로15길 46,37.5354942,127.0811465,340,69.0,69.0,42.0,2564.0,55.0,80.0,16.0
에이피(A?P)아트센터미술학원,서울특별시 광진구 광나루로 590,37.5425759,127.0939174,66,106.0,66.0,201.0,11343.0,174.0,81.0,4.0
광진델타수학보습학원,서울특별시 광진구 아차산로 345,37.5377045,127.0815286,48,71.0,48.0,26.0,1706.0,60.0,35.0,20.0
생각하는황소광진학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,30,70.0,30.0,221.0,11718.0,188.0,124.0,4.0
수학의신학원,서울특별시 광진구 광나루로 621,37.5407819,127.0967829,90,77.0,77.0,220.0,11754.0,183.0,102.0,0.0
이쌤수학교습소,서울특별시 광진구 용마산로22길 11-5,37.5638394,127.0875682,18,9.0,9.0,46.0,2841.0,65.0,67.0,10.0
더쎈수학교습소,서울특별시 광진구 천호대로138길 52,37.547018,127.0917055,5,5.0,5.0,61.0,2948.0,35.0,58.0,12.0
토크스테이션원격학원,서울특별시 광진구 능동로 275-1,37.5546997,127.077762,300,0.0,0.0,25.0,1514.0,62.0,81.0,39.0
수캠프수학학원,서울특별시 광진구 광나루로 584,37.54305129999999,127.0935523,120,70.0,70.0,171.0,10840.0,177.0,84.0,6.0
한국모델리스트패턴학원,서울특별시 광진구 아차산로 431,37.538653,127.0901794,560,82.0,82.0,84.0,3738.0,192.0,102.0,12.0
더채움수학전문학원,서울특별시 광진구 아차산로73길 44,37.5466961,127.1026265,350,73.0,73.0,22.0,1024.0,45.0,87.0,2.0
쇼타임스쿨학원,서울특별시 광진구 아차산로 324,37.5373962,127.0787717,122,79.0,79.0,30.0,1209.0,36.0,34.0,16.0
박희영수학교습소,서울특별시 광진구 능동로4길 38,37.5321852,127.0690312,30,9.0,9.0,71.0,2573.0,141.0,45.0,9.0
능동e해법수학교습소,서울특별시 광진구 천호대로116길 14,37.5545176,127.0838038,56,7.0,7.0,56.0,1631.0,94.0,35.0,47.0
해법엘리트영어교습소,서울특별시 광진구 동일로72길 42,37.5653782,127.0797526,60,6.0,6.0,26.0,1051.0,84.0,82.0,26.0
더(THE)칸트수학고등학습관학원,서울특별시 광진구 아차산로 484,37.540724,127.0956717,16,70.0,16.0,218.0,11496.0,187.0,89.0,2.0
더클래스(Theclass)영어교습소,서울특별시 광진구 광나루로36길 72,37.5418065,127.085491,8,9.0,8.0,48.0,1959.0,70.0,36.0,16.0
더(THE)칸트수학학원,서울특별시 광진구 아차산로 484,37.540724,127.0956717,18,85.0,18.0,218.0,11494.0,187.0,89.0,2.0
수학의달인구의점수학교습소,서울특별시 광진구 천호대로136길 46,37.54776349999999,127.0900713,48,8.0,8.0,49.0,2142.0,35.0,59.0,12.0
아트그로우미술교습소,서울특별시 광진구 아차산로 549,37.5441452,127.1015274,30,6.0,6.0,70.0,2631.0,32.0,92.0,2.0
유병환애견미용학원,서울특별시 광진구 아차산로 621,37.5484962,127.1072266,150,105.0,105.0,14.0,841.0,61.0,65.0,16.0
리딩오션광진&중국어학원,서울특별시 광진구 광나루로 608,37.541167,127.0953041,40,70.0,40.0,218.0,11472.0,186.0,89.0,2.0
노리미술교습소,서울특별시 광진구 긴고랑로29길 39,37.5616697,127.0863785,20,5.0,5.0,55.0,2991.0,58.0,66.0,14.0
아이비티영어교습소,서울특별시 광진구 천호대로119길 57,37.5574184,127.0857811,42,6.0,6.0,73.0,2508.0,106.0,59.0,49.0
위(We)양쌤수학교습소,서울특별시 광진구 광나루로 606,37.5413415,127.0951373,21,3.0,3.0,219.0,11653.0,186.0,88.0,2.0
아그네스영어교습소,서울특별시 광진구 아차산로21길 47,37.54450629999999,127.0658448,12,6.0,6.0,21.0,1725.0,86.0,26.0,15.0
에스투(S2)솔루션수학과학학원,서울특별시 광진구 광나루로 582,37.5430855,127.0933652,132,76.0,76.0,175.0,10794.0,183.0,84.0,6.0
라이즈더네이처아카데미학원,서울특별시 광진구 자양로50길 84,37.5530283,127.0969846,216,268.0,216.0,14.0,523.0,28.0,43.0,18.0
그린램프라이브러리광장캠퍼스독서실,서울특별시 광진구 아차산로 471,37.5404134,127.0939444,206,103.0,103.0,212.0,11673.0,196.0,131.0,6.0
이투스247서울광진점학원,서울특별시 광진구 아차산로 471,37.5404134,127.0939444,2120,167.0,167.0,212.0,11609.0,196.0,131.0,6.0
뉴옥스포드보습학원,서울특별시 광진구 뚝섬로36길 53,37.5320996,127.0703949,260,72.0,72.0,95.0,3869.0,146.0,59.0,7.0
광장동해법중국어학원,서울특별시 광진구 아차산로 493,37.5417983,127.0961971,120,80.0,80.0,213.0,11577.0,186.0,104.0,0.0
한우리논술교습소,서울특별시 광진구 뚝섬로46길 67,37.5298034,127.0762667,3,3.0,3.0,55.0,2186.0,59.0,37.0,12.0
4%사회탐구사회교습소,서울특별시 광진구 아차산로 484,37.540724,127.0956717,14,7.0,7.0,218.0,11505.0,187.0,89.0,2.0
