학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
자매음악학원,서울특별시 광진구 동일로24길 13,37.5439693,127.0660367,35,22.0,22.0,22.0,1773.0,122.0,24.0,15.0
동부대일보습학원,서울특별시 광진구 영화사로 32,37.5567329,127.0903676,408,120.0,120.0,46.0,1289.0,96.0,71.0,12.0
강북전문가집단보습학원,서울특별시 광진구 용마산로 111,37.5635935,127.0866729,540,114.0,114.0,46.0,2736.0,74.0,71.0,10.0
서울필음악학원,서울특별시 광진구 뚝섬로 587,37.5335228,127.0754315,66,13.0,13.0,89.0,3576.0,73.0,55.0,6.0
예원음악학원,서울특별시 광진구 자양로 282-1,37.5509934,127.0917623,84,12.0,12.0,52.0,2234.0,84.0,78.0,24.0
포일스독서실,서울특별시 광진구 아차산로 623,37.548496,127.106796,352,176.0,176.0,13.0,720.0,57.0,70.0,18.0
스터디뱅크독서실,서울특별시 광진구 뚝섬로33길 45,37.5370226,127.0700899,553,79.0,79.0,68.0,3177.0,206.0,60.0,6.0
군자스터디뱅크독서실,서울특별시 광진구 군자로 100,37.5519103,127.0714764,128,128.0,128.0,21.0,909.0,31.0,61.0,10.0
지니음악학원,서울특별시 광진구 영화사로 29-1,37.5570335,127.0905629,90,34.0,34.0,45.0,1352.0,95.0,66.0,12.0
유니버설발레학원,서울특별시 광진구 천호대로 670,37.55104770000001,127.0895364,165,95.0,95.0,49.0,1954.0,94.0,64.0,24.0
엘림보습학원,서울특별시 광진구 천호대로 616,37.5543504,127.0857568,23,50.0,23.0,65.0,2207.0,95.0,43.0,47.0
GMstudy학원,서울특별시 광진구 아차산로 494,37.541154,127.0967128,42,75.0,42.0,220.0,11789.0,183.0,103.0,0.0
서울학원,서울특별시 광진구 자양로42길 2,37.5493218,127.0904011,156,248.0,156.0,51.0,1891.0,76.0,55.0,22.0
전문가집단보습학원,서울특별시 광진구 용마산로 111,37.5635935,127.0866729,552,43.0,43.0,46.0,2807.0,74.0,71.0,10.0
유니크(Unique)보습학원,서울특별시 광진구 뚝섬로 590,37.5331067,127.0752992,330,150.0,150.0,90.0,3448.0,75.0,55.0,10.0
위드스카이학원,서울특별시 광진구 뚝섬로56길 21,37.5304977,127.0827277,65292,70.0,70.0,48.0,1751.0,69.0,58.0,8.0
올림피아드보습학원,서울특별시 광진구 아차산로 376,37.5364443,127.0844799,504,299.0,299.0,28.0,1710.0,92.0,69.0,13.0
광개토아카데미보습학원,서울특별시 광진구 용마산로 114,37.5638778,127.0871117,320,84.0,84.0,46.0,2766.0,66.0,75.0,10.0
성심보습학원,서울특별시 광진구 능동로13길 102,37.5460087,127.0682278,279,70.0,70.0,16.0,683.0,107.0,51.0,8.0
이드미술학원,서울특별시 광진구 아차산로 191,37.5420462,127.0651456,360,50.0,50.0,22.0,1807.0,110.0,21.0,16.0
공신보습학원,서울특별시 광진구 동일로 274,37.5557399,127.0719634,134,93.0,93.0,8.0,407.0,20.0,49.0,13.0
한국보습학원,서울특별시 광진구 아차산로 201,37.5417904,127.0660431,440,100.0,100.0,22.0,1757.0,116.0,33.0,16.0
진학학원,서울특별시 광진구 군자로 138,37.553954,127.0746597,165,119.0,119.0,26.0,1105.0,49.0,63.0,13.0
혜민병원부설간호조무사학원,서울특별시 광진구 자양로 81,37.5350613,127.0838543,285,95.0,95.0,43.0,2541.0,89.0,80.0,17.0
