학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
경희음악학원,서울특별시 노원구 동일로242마길 6,37.6742707,127.0589539,27,60,0.0,27.0,22.0,1434.0,36.0,18.0,10.0
학림2관학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,2000,199,0.0,199.0,488.0,60218.0,58.0,74.0,2.0
창신보습학원,서울특별시 노원구 덕릉로 744,37.6638594,127.076581,156,116,0.0,116.0,42.0,1193.0,38.0,53.0,9.0
이보영의토킹클럽중계학원,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,60,75,0.0,60.0,474.0,60179.0,57.0,74.0,2.0
리딩뱅크독서실,서울특별시 노원구 중계로 217,37.6504871,127.0759853,288,152,0.0,152.0,488.0,60265.0,58.0,74.0,2.0
신세화음악학원,서울특별시 노원구 공릉로34길 62,37.6234994,127.0831875,41,41,0.0,41.0,88.0,2725.0,44.0,68.0,12.0
플랜원영수전문학원,서울특별시 노원구 중계로 225,37.6498272,127.0743318,66,75,0.0,66.0,466.0,59546.0,57.0,63.0,3.0
예음음악학원,서울특별시 노원구 덕릉로73길 28,37.6534321,127.072311,55,49,0.0,49.0,249.0,13737.0,37.0,58.0,0.0
칼라키즈(COLOR)어학원,서울특별시 노원구 공릉로39길 22-1,37.6239417,127.0780231,50,148,0.0,50.0,72.0,3402.0,85.0,46.0,6.0
한국UPI학원,서울특별시 노원구 석계로1길 22,37.6155573,127.0634946,220,298,0.0,220.0,29.0,717.0,19.0,9.0,2.0
선화음악학원,서울특별시 노원구 덕릉로118길 29,37.667829,127.0816184,50,30,0.0,30.0,18.0,522.0,20.0,27.0,6.0
종로엠스쿨중계학원독서실,서울특별시 노원구 동일로 1373,37.6511487,127.0610612,635,198,0.0,198.0,90.0,8928.0,69.0,50.0,5.0
새리듬음악학원,서울특별시 노원구 동일로192길 77,37.6280811,127.0768426,127,28,0.0,28.0,31.0,1833.0,58.0,52.0,5.0
시심학원,서울특별시 노원구 중계로 197,37.6497527,127.0784681,55,96,0.0,55.0,473.0,60129.0,67.0,54.0,2.0
로사음악학원,서울특별시 노원구 공릉로58길 176,37.6374588,127.0773164,270,30,0.0,30.0,21.0,11398.0,23.0,30.0,1.0
C&C미술학원,서울특별시 노원구 노해로 501,37.6552273,127.0635578,410,116,0.0,116.0,117.0,19419.0,102.0,87.0,7.0
TOPIAEnglishZone어학학원,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,154,990,0.0,154.0,462.0,60189.0,65.0,77.0,3.0
