,Unnamed: 0,학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계
199,199,체리힐아카데미어학원,서울특별시 광진구 아차산로 431,37.538653,127.0901794,58,50.0
200,200,광진커피바리스타학원,서울특별시 광진구 아차산로 431,37.538653,127.0901794,530,61.0
201,201,티에스과학교습소,서울특별시 광진구 아차산로65길 9,37.54070859999999,127.0941005,20,4.0
202,202,하트앤아트미술교습소,서울특별시 광진구 아차산로42길 31,37.5360708,127.0789478,15,5.0
203,203,탑브레인보습학원,서울특별시 광진구 자양로 242,37.5479471,127.0888685,88,73.0
204,204,초중자기주도학습학원,서울특별시 광진구 광나루로 602,37.5417868,127.0946996,40,76.0
205,205,강샘우샘영수보습학원,서울특별시 광진구 천호대로 698,37.5491667,127.0916109,165,74.0
206,206,에콜로지에미술교습소,서울특별시 광진구 아차산로70길 26,37.54196659999999,127.1011914,90,9.0
207,207,강의하는아이들수학교습소,서울특별시 광진구 광나루로 608,37.541167,127.0953041,15,9.0
208,208,강선생수학교습소,서울특별시 광진구 동일로72길 30,37.5655542,127.0792109,6,3.0
209,209,팝콘수학교습소,서울특별시 광진구 긴고랑로30길 45,37.5577447,127.087232,12,3.0
210,210,잼실용음악학원,서울특별시 광진구 능동로 259,37.5533554,127.0770477,300,74.0
211,211,이챕터스보습학원,서울특별시 광진구 아차산로 477,37.540732,127.094682,60,76.0
212,212,YBM시사주니어영어교습소,서울특별시 광진구 천호대로113길 7,37.5576532,127.0831378,161,7.0
213,213,군자해법수학교습소,서울특별시 광진구 군자로12길 46,37.5512693,127.0726281,18,6.0
214,214,카페플래닝커피학원,서울특별시 광진구 자양로 124,37.5387558,127.0835682,130,85.0
215,215,명문고려보습학원,서울특별시 광진구 능동로 372,37.56239670000001,127.0826701,855,118.0
216,216,광진전문가집단보습학원,서울특별시 광진구 용마산로 111,37.5635935,127.0866729,530,72.0
217,217,닥터엠수학교습소,서울특별시 광진구 아차산로 552,37.5431583,127.1041888,32,4.0
218,218,광진영재보습학원,서울특별시 광진구 자양번영로 18,37.5311623,127.0753313,60,73.0
219,219,시그마보습학원,서울특별시 광진구 아차산로 479,37.5408115,127.0948355,60,69.0
220,220,모네의정원미술교습소,서울특별시 광진구 자양로22길 24,37.5394904,127.0846921,45,5.0
221,221,위드써니보습학원,서울특별시 광진구 광나루로54길 6,37.5405539,127.0958609,138,69.0
222,222,제이아카데미학원,서울특별시 광진구 아차산로69길 8,37.5425891,127.0984974,180,0.0
223,223,소리엘음악학원,서울특별시 광진구 능동로6길 16,37.5340972,127.0690377,450,49.0
224,224,디딤돌미술학원,서울특별시 광진구 자양번영로 23-1,37.5318399,127.0750585,45,57.0
225,225,동그라미미술교습소,서울특별시 광진구 뚝섬로36가길 6,37.5322217,127.0709095,12,7.0
226,226,매썬스수학과학보습학원,서울특별시 광진구 아차산로69길 8,37.5425891,127.0984974,172,69.0
227,227,와이비엠건대어학원,서울특별시 광진구 아차산로 229,37.54081559999999,127.0690315,1295,294.0
228,228,웅진씽크빅중곡학원,서울특별시 광진구 용마산로24길 14,37.5651577,127.0876054,220,70.0
229,229,광진구주이배수학보습학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,170,296.0
230,230,독카실용음악학원,서울특별시 광진구 뚝섬로 523,37.5355675,127.0681911,10,50.0
231,231,와이리더스컴퓨터학원,서울특별시 광진구 능동로 339,37.5599223,127.0807312,278,53.0
232,232,자양신양해법수학교습소,서울특별시 광진구 능동로6길 22,37.534056,127.0692057,6,2.0
233,233,레인메이커보습학원,서울특별시 광진구 뚝섬로 539,37.5350424,127.0700693,150,95.0
234,234,시냇가에심은나무미술학원,서울특별시 광진구 광나루로54길 9,37.5402018,127.095901,32,53.0
235,235,생각또질문철학논술교습소,서울특별시 광진구 구의강변로 96,37.5384981,127.0946643,29,6.0
236,236,이튼클래스보습학원,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,550,145.0
237,237,아담리즈수학광진직영학원,서울특별시 광진구 구의강변로 106,37.5399001,127.0948193,56,80.0
238,238,서림학원,서울특별시 광진구 면목로 149,37.5667137,127.0815406,56,68.0
239,239,에프엑스수학교습소,서울특별시 광진구 아차산로 530,37.5419395,127.0996713,30,5.0
240,240,광진이은재어학학원,서울특별시 광진구 아차산로 478,37.540312,127.095016,925,50.0
241,241,엠아이실용음악학원,서울특별시 광진구 광나루로56길 63,37.53739729999999,127.0976212,3,49.0
242,242,브랜뉴실용음악학원,서울특별시 광진구 아차산로 360,37.5364337,127.0826331,225,30.0
243,243,비더원영어학원,서울특별시 광진구 광나루로 582,37.5430855,127.0933652,112,180.0
