,Unnamed: 0,도로명주소,업태구분명,좌표
376,376,서울특별시 광진구 뚝섬로 646 (자양동),일반조리판매,"37.5315073, 127.0805619"
378,378,"서울특별시 광진구 뚝섬로 654 (자양동,(1층))",패스트푸드,"37.5315073, 127.0805619"
393,393,"서울특별시 광진구 능동로 92, 지하1층 (자양동)",일반조리판매,"37.538956049999996, 127.07142585170553"
397,397,"서울특별시 광진구 구의로4길 2, 1층 (구의동)",패스트푸드,"37.540428, 127.0916351"
400,400,"서울특별시 광진구 군자로 111 (군자동,(1층))",일반조리판매,"37.5551426, 127.0759466"
412,412,"서울특별시 광진구 능동로50길 17, 1층 (중곡동)",일반조리판매,"37.5639201, 127.0844021"
413,413,"서울특별시 광진구 광나루로 390 (화양동,(층))",커피숍,"37.5479106, 127.0694072"
417,417,서울특별시 광진구 광나루로 360 (화양동),일반조리판매,"37.5479106, 127.0694072"
438,438,"서울특별시 광진구 자양로 156, 1층 (구의동)",일반조리판매,"37.5287142, 127.0883594"
462,462,"서울특별시 광진구 긴고랑로 52, 지하1층 (중곡동)",일반조리판매,"37.56369, 127.0782554"
480,480,"서울특별시 광진구 광나루로36길 42, 1층 (구의동)",일반조리판매,"37.5435491, 127.0864008"
483,483,"서울특별시 광진구 능동로 258 (능동,(1층))",일반조리판매,"37.55512, 127.07864"
515,515,서울특별시 광진구 광나루로 441 (능동),일반조리판매,"37.5468262, 127.0766379"
520,520,"서울특별시 광진구 능동로13길 39, 1층 (화양동, GS슈퍼화양점)",패스트푸드,"37.543819, 127.0698061"
530,530,서울특별시 광진구 뚝섬로 552 (자양동),일반조리판매,"37.5315073, 127.0805619"
537,537,"서울특별시 광진구 능동로 95, 지하1층 (자양동)",일반조리판매,"37.5340314, 127.0678046"
541,541,"서울특별시 광진구 자양로 128, 1층 (구의동)",커피숍,"37.5287142, 127.0883594"
549,549,"서울특별시 광진구 동일로26길 58, 1층 (화양동)",일반조리판매,"37.544978, 127.0678273"
550,550,"서울특별시 광진구 동일로62길 38, 1층 (중곡동)",일반조리판매,"37.559469, 127.0757743"
551,551,"서울특별시 광진구 구의강변로 45, 1층 106호 (구의동)",일반조리판매,"37.53552, 127.09211"
552,552,"서울특별시 광진구 아차산로30길 8, 2층 (자양동)",커피숍,"37.539866, 127.0674768"
553,553,"서울특별시 광진구 자양로 202, 1층 (구의동)",기타 휴게음식점,"37.5287142, 127.0883594"
555,555,"서울특별시 광진구 자양로28길 11, 1층 (구의동)",일반조리판매,"37.541602, 127.0888944"
557,557,"서울특별시 광진구 군자로 49, 1층 (화양동)",일반조리판매,"37.5433395, 127.071636"
558,558,"서울특별시 광진구 자양로13길 16, 2층 (자양동)",패스트푸드,"37.5329309, 127.0804176"
560,560,"서울특별시 광진구 광나루로17길 14-5, 1층 (군자동)",일반조리판매,"37.5487957, 127.0727108"
561,561,"서울특별시 광진구 광나루로 392, 1,2층 (화양동)",패스트푸드,"37.5473263, 127.0731967"
562,562,"서울특별시 광진구 아차산로 537-17, 1층 8호 (광장동)",일반조리판매,"37.538847, 127.0919729"
563,563,"서울특별시 광진구 천호대로 543, 1층 (중곡동)",일반조리판매,"37.5534728, 127.0884141"
564,564,"서울특별시 광진구 면목로 8, 1층 (군자동)",커피숍,"37.5671595, 127.0819519"
565,565,"서울특별시 광진구 자양로9길 57, 1층 (자양동)",일반조리판매,"37.5327163, 127.0810967"
566,566,"서울특별시 광진구 뚝섬로56길 34, 1층 (자양동)",일반조리판매,"37.5298042, 127.0821658"
567,567,"서울특별시 광진구 아차산로29길 75, 1층 (화양동)",일반조리판매,"37.5425828, 127.0689288"
568,568,"서울특별시 광진구 능동로 120, 1층 (화양동)",일반조리판매,"37.54184695, 127.07711486219412"
570,570,"서울특별시 광진구 아차산로 537-17, 1층 (광장동)",일반조리판매,"37.538847, 127.0919729"
572,572,"서울특별시 광진구 동일로62길 13, 1층 (중곡동)",일반조리판매,"37.5598763, 127.0749871"
573,573,"서울특별시 광진구 아차산로 262, 1층층 80호 (자양동)",일반조리판매,"37.538847, 127.0919729"
574,574,"서울특별시 광진구 천호대로143길 8-5, 1층 (광장동)",커피숍,"37.5463502, 127.1032694"
575,575,"서울특별시 광진구 긴고랑로7길 71, 1층 (중곡동)",일반조리판매,"37.5668204, 127.0809769"
576,576,"서울특별시 광진구 면목로 52, 1층 (중곡동)",일반조리판매,"37.5671595, 127.0819519"
577,577,"서울특별시 광진구 영화사로 34, 1층 (중곡동)",일반조리판매,"37.5525116, 127.0995989"
579,579,"서울특별시 광진구 능동로34길 27, 1층 109호 (능동)",일반조리판매,"37.5540724, 127.0837004"
